date,state,cases_import,cases_new,cases_recovered
2/11/20,Pulau Pinang,0,0,0
2/11/20,Sabah,0,0,0
2/11/20,Sarawak,0,0,0
2/11/20,Selangor,0,0,0
2/11/20,Terengganu,0,0,0
2/11/20,W.P. Kuala Lumpur,0,0,0
2/11/20,W.P. Labuan,0,0,0
2/11/20,W.P. Putrajaya,0,0,0
2/12/20,Johor,0,0,0
2/12/20,Kedah,0,0,0
2/12/20,Kelantan,0,0,0
2/12/20,Melaka,0,0,0
2/12/20,Negeri Sembilan,0,0,0
2/12/20,Pahang,0,0,0
2/12/20,Perak,0,0,0
2/12/20,Perlis,0,0,0
2/12/20,Pulau Pinang,0,0,0
2/12/20,Sabah,0,0,0
2/12/20,Sarawak,0,0,0
2/12/20,Selangor,0,0,0
2/12/20,Terengganu,0,0,0
2/12/20,W.P. Kuala Lumpur,0,0,0
2/12/20,W.P. Labuan,0,0,0
2/12/20,W.P. Putrajaya,0,0,0
2/13/20,Johor,0,0,0
2/13/20,Kedah,0,0,0
2/13/20,Kelantan,0,0,0
2/13/20,Melaka,0,0,0
2/13/20,Negeri Sembilan,0,0,0
2/13/20,Pahang,0,0,0
2/13/20,Perak,0,0,0
2/13/20,Perlis,0,0,0
2/13/20,Pulau Pinang,0,0,0
2/13/20,Sabah,0,0,0
2/13/20,Sarawak,0,0,0
2/13/20,Selangor,0,0,0
2/13/20,Terengganu,0,0,0
2/13/20,W.P. Kuala Lumpur,0,0,0
2/13/20,W.P. Labuan,0,0,0
2/13/20,W.P. Putrajaya,0,0,0
2/14/20,Johor,0,0,4
2/14/20,Kedah,0,0,0
2/14/20,Kelantan,0,0,0
2/14/20,Melaka,0,0,0
2/14/20,Negeri Sembilan,0,0,0
2/14/20,Pahang,0,0,0
2/14/20,Perak,0,0,0
2/14/20,Perlis,0,0,0
2/14/20,Pulau Pinang,0,0,0
2/14/20,Sabah,0,0,0
2/14/20,Sarawak,0,0,0
2/14/20,Selangor,0,0,0
2/14/20,Terengganu,0,0,0
2/14/20,W.P. Kuala Lumpur,1,1,0
2/14/20,W.P. Labuan,0,0,0
2/14/20,W.P. Putrajaya,0,0,0
2/15/20,Johor,0,0,1
2/15/20,Kedah,1,1,0
2/15/20,Kelantan,0,0,0
2/15/20,Melaka,0,0,0
2/15/20,Negeri Sembilan,0,0,0
2/15/20,Pahang,0,0,0
2/15/20,Perak,0,0,0
2/15/20,Perlis,0,0,0
2/15/20,Pulau Pinang,0,0,0
2/15/20,Sabah,0,0,0
2/15/20,Sarawak,0,0,0
2/15/20,Selangor,2,2,0
2/15/20,Terengganu,0,0,0
2/15/20,W.P. Kuala Lumpur,0,0,0
2/15/20,W.P. Labuan,0,0,0
2/15/20,W.P. Putrajaya,0,0,0
2/16/20,Johor,0,0,0
2/16/20,Kedah,0,0,0
2/16/20,Kelantan,0,0,0
2/16/20,Melaka,0,0,0
2/16/20,Negeri Sembilan,0,0,0
2/16/20,Pahang,0,0,0
2/16/20,Perak,0,0,0
2/16/20,Perlis,0,0,0
2/16/20,Pulau Pinang,0,0,0
2/16/20,Sabah,0,0,0
2/16/20,Sarawak,0,0,0
2/16/20,Selangor,0,0,0
2/16/20,Terengganu,0,0,0
2/16/20,W.P. Kuala Lumpur,0,0,0
2/16/20,W.P. Labuan,0,0,0
2/16/20,W.P. Putrajaya,0,0,0
2/17/20,Johor,0,0,0
2/17/20,Kedah,0,0,0
2/17/20,Kelantan,0,0,0
2/17/20,Melaka,0,0,0
2/17/20,Negeri Sembilan,0,0,2
2/17/20,Pahang,0,0,0
2/17/20,Perak,0,0,0
2/17/20,Perlis,0,0,0
2/17/20,Pulau Pinang,0,0,0
2/17/20,Sabah,0,0,0
2/17/20,Sarawak,0,0,0
2/17/20,Selangor,0,0,1
2/17/20,Terengganu,0,0,0
2/17/20,W.P. Kuala Lumpur,0,0,0
2/17/20,W.P. Labuan,0,0,0
2/17/20,W.P. Putrajaya,0,0,0
2/18/20,Johor,0,0,2
2/18/20,Kedah,0,0,0
2/18/20,Kelantan,0,0,0
2/18/20,Melaka,0,0,0
2/18/20,Negeri Sembilan,0,0,0
2/18/20,Pahang,0,0,0
2/18/20,Perak,0,0,0
2/18/20,Perlis,0,0,0
2/18/20,Pulau Pinang,0,0,0
2/18/20,Sabah,0,0,0
2/18/20,Sarawak,0,0,0
2/18/20,Selangor,0,0,0
2/18/20,Terengganu,0,0,0
2/18/20,W.P. Kuala Lumpur,0,0,0
2/18/20,W.P. Labuan,0,0,0
2/18/20,W.P. Putrajaya,0,0,0
2/19/20,Johor,0,0,0
2/19/20,Kedah,0,0,1
2/19/20,Kelantan,0,0,0
2/19/20,Melaka,0,0,0
2/19/20,Negeri Sembilan,0,0,0
2/19/20,Pahang,0,0,0
2/19/20,Perak,0,0,0
2/19/20,Perlis,0,0,0
2/19/20,Pulau Pinang,0,0,0
2/19/20,Sabah,0,0,0
2/19/20,Sarawak,0,0,0
2/19/20,Selangor,0,0,3
2/19/20,Terengganu,0,0,0
2/19/20,W.P. Kuala Lumpur,0,0,0
2/19/20,W.P. Labuan,0,0,0
2/19/20,W.P. Putrajaya,0,0,0
2/20/20,Johor,0,0,0
2/20/20,Kedah,0,0,0
2/20/20,Kelantan,0,0,0
2/20/20,Melaka,0,0,0
2/20/20,Negeri Sembilan,0,0,0
2/20/20,Pahang,0,0,0
2/20/20,Perak,0,0,0
2/20/20,Perlis,0,0,0
2/20/20,Pulau Pinang,0,0,0
2/20/20,Sabah,0,0,0
2/20/20,Sarawak,0,0,0
2/20/20,Selangor,0,0,0
2/20/20,Terengganu,0,0,0
2/20/20,W.P. Kuala Lumpur,0,0,0
2/20/20,W.P. Labuan,0,0,0
2/20/20,W.P. Putrajaya,0,0,0
2/21/20,Johor,0,0,0
2/21/20,Kedah,0,0,0
2/21/20,Kelantan,0,0,0
2/21/20,Melaka,0,0,0
2/21/20,Negeri Sembilan,0,0,0
2/21/20,Pahang,0,0,0
2/21/20,Perak,0,0,0
2/21/20,Perlis,0,0,0
2/21/20,Pulau Pinang,0,0,0
2/21/20,Sabah,0,0,0
2/21/20,Sarawak,0,0,0
2/21/20,Selangor,0,0,0
2/21/20,Terengganu,0,0,0
2/21/20,W.P. Kuala Lumpur,0,0,0
2/21/20,W.P. Labuan,0,0,0
2/21/20,W.P. Putrajaya,0,0,0
2/22/20,Johor,0,0,0
2/22/20,Kedah,0,0,1
2/22/20,Kelantan,0,0,0
2/22/20,Melaka,0,0,0
2/22/20,Negeri Sembilan,0,0,0
2/22/20,Pahang,0,0,0
2/22/20,Perak,0,0,0
2/22/20,Perlis,0,0,0
2/22/20,Pulau Pinang,0,0,0
2/22/20,Sabah,0,0,0
2/22/20,Sarawak,0,0,0
2/22/20,Selangor,0,0,0
2/22/20,Terengganu,0,0,0
2/22/20,W.P. Kuala Lumpur,0,0,0
2/22/20,W.P. Labuan,0,0,0
2/22/20,W.P. Putrajaya,0,0,0
2/23/20,Johor,0,0,0
2/23/20,Kedah,0,0,0
2/23/20,Kelantan,0,0,0
2/23/20,Melaka,0,0,0
2/23/20,Negeri Sembilan,0,0,0
2/23/20,Pahang,0,0,0
2/23/20,Perak,0,0,0
2/23/20,Perlis,0,0,0
2/23/20,Pulau Pinang,0,0,0
2/23/20,Sabah,0,0,0
2/23/20,Sarawak,0,0,0
2/23/20,Selangor,0,0,0
2/23/20,Terengganu,0,0,0
2/23/20,W.P. Kuala Lumpur,0,0,0
2/23/20,W.P. Labuan,0,0,0
2/23/20,W.P. Putrajaya,0,0,0
2/24/20,Johor,0,0,0
2/24/20,Kedah,0,0,0
2/24/20,Kelantan,0,0,0
2/24/20,Melaka,0,0,0
2/24/20,Negeri Sembilan,0,0,0
2/24/20,Pahang,0,0,0
2/24/20,Perak,0,0,0
2/24/20,Perlis,0,0,0
2/24/20,Pulau Pinang,0,0,0
2/24/20,Sabah,0,0,0
2/24/20,Sarawak,0,0,0
2/24/20,Selangor,0,0,0
2/24/20,Terengganu,0,0,0
2/24/20,W.P. Kuala Lumpur,0,0,2
2/24/20,W.P. Labuan,0,0,0
2/24/20,W.P. Putrajaya,0,0,0
2/25/20,Johor,0,0,0
2/25/20,Kedah,0,0,0
2/25/20,Kelantan,0,0,0
2/25/20,Melaka,0,0,0
2/25/20,Negeri Sembilan,0,0,0
2/25/20,Pahang,0,0,0
2/25/20,Perak,0,0,0
2/25/20,Perlis,0,0,0
2/25/20,Pulau Pinang,0,0,0
2/25/20,Sabah,0,0,0
2/25/20,Sarawak,0,0,0
2/25/20,Selangor,0,0,0
2/25/20,Terengganu,0,0,0
2/25/20,W.P. Kuala Lumpur,0,0,0
2/25/20,W.P. Labuan,0,0,0
2/25/20,W.P. Putrajaya,0,0,0
2/26/20,Johor,0,0,0
2/26/20,Kedah,0,0,0
2/26/20,Kelantan,0,0,0
2/26/20,Melaka,0,0,0
2/26/20,Negeri Sembilan,0,0,0
2/26/20,Pahang,0,0,0
2/26/20,Perak,0,0,0
2/26/20,Perlis,0,0,0
2/26/20,Pulau Pinang,0,0,0
2/26/20,Sabah,0,0,0
2/26/20,Sarawak,0,0,0
2/26/20,Selangor,0,0,0
2/26/20,Terengganu,0,0,0
2/26/20,W.P. Kuala Lumpur,0,0,0
2/26/20,W.P. Labuan,0,0,0
2/26/20,W.P. Putrajaya,0,0,0
2/27/20,Johor,0,0,0
2/27/20,Kedah,0,0,0
2/27/20,Kelantan,0,0,0
2/27/20,Melaka,0,0,0
2/27/20,Negeri Sembilan,0,0,0
2/27/20,Pahang,0,0,0
2/27/20,Perak,0,0,0
2/27/20,Perlis,0,0,0
2/27/20,Pulau Pinang,0,0,0
2/27/20,Sabah,0,0,0
2/27/20,Sarawak,0,0,0
2/27/20,Selangor,1,1,1
2/27/20,Terengganu,0,0,0
2/27/20,W.P. Kuala Lumpur,0,0,1
2/27/20,W.P. Labuan,0,0,0
2/27/20,W.P. Putrajaya,0,0,0
2/28/20,Johor,0,0,0
2/28/20,Kedah,0,0,0
2/28/20,Kelantan,0,0,0
2/28/20,Melaka,0,0,0
2/28/20,Negeri Sembilan,0,0,0
2/28/20,Pahang,0,0,0
2/28/20,Perak,0,0,0
2/28/20,Perlis,0,0,0
2/28/20,Pulau Pinang,0,0,0
2/28/20,Sabah,0,0,0
2/28/20,Sarawak,0,0,0
2/28/20,Selangor,1,1,0
2/28/20,Terengganu,0,0,0
2/28/20,W.P. Kuala Lumpur,1,1,0
2/28/20,W.P. Labuan,0,0,0
2/28/20,W.P. Putrajaya,0,0,0
2/29/20,Johor,0,0,0
2/29/20,Kedah,0,0,0
2/29/20,Kelantan,0,0,0
2/29/20,Melaka,0,0,0
2/29/20,Negeri Sembilan,0,0,0
2/29/20,Pahang,0,0,0
2/29/20,Perak,0,0,0
2/29/20,Perlis,0,0,0
2/29/20,Pulau Pinang,0,0,0
2/29/20,Sabah,0,0,0
2/29/20,Sarawak,0,0,0
2/29/20,Selangor,1,4,0
2/29/20,Terengganu,0,0,0
2/29/20,W.P. Kuala Lumpur,0,0,0
2/29/20,W.P. Labuan,0,0,0
2/29/20,W.P. Putrajaya,0,0,0
3/1/20,Johor,0,0,0
3/1/20,Kedah,0,0,0
3/1/20,Kelantan,0,0,0
3/1/20,Melaka,0,0,0
3/1/20,Negeri Sembilan,0,0,0
3/1/20,Pahang,0,0,0
3/1/20,Perak,0,0,0
3/1/20,Perlis,0,0,0
3/1/20,Pulau Pinang,0,0,0
3/1/20,Sabah,0,0,0
3/1/20,Sarawak,0,0,0
3/1/20,Selangor,0,0,0
3/1/20,Terengganu,0,0,0
3/1/20,W.P. Kuala Lumpur,0,0,0
3/1/20,W.P. Labuan,0,0,0
3/1/20,W.P. Putrajaya,0,0,0
3/2/20,Johor,0,0,0
3/2/20,Kedah,0,0,0
3/2/20,Kelantan,0,0,0
3/2/20,Melaka,0,0,0
3/2/20,Negeri Sembilan,0,0,0
3/2/20,Pahang,0,0,0
3/2/20,Perak,0,0,0
3/2/20,Perlis,0,0,0
3/2/20,Pulau Pinang,0,0,0
3/2/20,Sabah,0,0,0
3/2/20,Sarawak,0,0,0
3/2/20,Selangor,0,0,0
3/2/20,Terengganu,0,0,0
3/2/20,W.P. Kuala Lumpur,0,0,0
