date,state,cases_import,cases_new,cases_recovered
7/10/21,Kelantan,0,89,131
7/10/21,Melaka,0,835,791
7/10/21,Negeri Sembilan,0,638,726
7/10/21,Pahang,0,247,226
7/10/21,Perak,0,145,162
7/10/21,Perlis,0,4,0
7/10/21,Pulau Pinang,4,180,40
7/10/21,Sabah,0,251,136
7/10/21,Sarawak,0,352,488
7/10/21,Selangor,5,4277,1970
7/10/21,Terengganu,0,50,32
7/10/21,W.P. Kuala Lumpur,2,1398,573
7/10/21,W.P. Labuan,0,85,134
7/10/21,W.P. Putrajaya,0,39,18
7/11/21,Johor,0,392,347
7/11/21,Kedah,0,382,283
7/11/21,Kelantan,0,150,103
7/11/21,Melaka,0,278,245
7/11/21,Negeri Sembilan,0,541,496
7/11/21,Pahang,0,300,105
7/11/21,Perak,0,207,120
7/11/21,Perlis,0,1,3
7/11/21,Pulau Pinang,0,243,246
7/11/21,Sabah,0,271,246
7/11/21,Sarawak,4,270,368
7/11/21,Selangor,0,4682,1965
7/11/21,Terengganu,0,38,23
7/11/21,W.P. Kuala Lumpur,14,1247,534
7/11/21,W.P. Labuan,0,54,90
7/11/21,W.P. Putrajaya,0,49,20
7/12/21,Johor,0,407,234
7/12/21,Kedah,0,415,154
7/12/21,Kelantan,0,133,103
7/12/21,Melaka,0,411,136
7/12/21,Negeri Sembilan,2,794,610
7/12/21,Pahang,0,314,128
7/12/21,Perak,0,168,349
7/12/21,Perlis,0,0,0
7/12/21,Pulau Pinang,0,231,266
7/12/21,Sabah,0,298,306
7/12/21,Sarawak,0,235,360
7/12/21,Selangor,18,4308,1772
7/12/21,Terengganu,0,140,38
7/12/21,W.P. Kuala Lumpur,20,609,441
7/12/21,W.P. Labuan,0,66,124
7/12/21,W.P. Putrajaya,0,45,20
7/13/21,Johor,0,406,222
7/13/21,Kedah,0,497,262
7/13/21,Kelantan,0,211,101
7/13/21,Melaka,0,323,99
7/13/21,Negeri Sembilan,2,1033,803
7/13/21,Pahang,0,321,328
7/13/21,Perak,0,329,247
7/13/21,Perlis,0,0,4
7/13/21,Pulau Pinang,2,234,122
7/13/21,Sabah,0,239,244
7/13/21,Sarawak,0,472,260
7/13/21,Selangor,6,5263,1994
7/13/21,Terengganu,0,93,49
7/13/21,W.P. Kuala Lumpur,17,1521,1131
7/13/21,W.P. Labuan,0,60,103
7/13/21,W.P. Putrajaya,0,77,21
7/14/21,Johor,5,396,316
7/14/21,Kedah,0,504,121
7/14/21,Kelantan,0,236,129
7/14/21,Melaka,0,526,794
7/14/21,Negeri Sembilan,1,1537,575
7/14/21,Pahang,0,400,343
7/14/21,Perak,0,164,176
7/14/21,Perlis,0,3,0
7/14/21,Pulau Pinang,0,210,145
7/14/21,Sabah,1,286,303
7/14/21,Sarawak,0,289,291
7/14/21,Selangor,7,5051,2433
7/14/21,Terengganu,0,189,62
7/14/21,W.P. Kuala Lumpur,12,1749,539
7/14/21,W.P. Labuan,0,38,134
7/14/21,W.P. Putrajaya,0,40,16
7/15/21,Johor,0,599,307
7/15/21,Kedah,0,695,262
7/15/21,Kelantan,0,255,108
7/15/21,Melaka,0,484,183
7/15/21,Negeri Sembilan,1,1603,575
7/15/21,Pahang,0,222,220
7/15/21,Perak,0,344,98
7/15/21,Perlis,0,3,0
7/15/21,Pulau Pinang,0,509,230
7/15/21,Sabah,0,370,207
7/15/21,Sarawak,0,363,462
7/15/21,Selangor,7,6120,2416
7/15/21,Terengganu,0,70,39
7/15/21,W.P. Kuala Lumpur,5,1499,886
7/15/21,W.P. Labuan,0,26,98
7/15/21,W.P. Putrajaya,0,53,4
7/16/21,Johor,2,609,473
7/16/21,Kedah,0,458,400
7/16/21,Kelantan,0,225,101
7/16/21,Melaka,0,575,345
7/16/21,Negeri Sembilan,0,1619,568
7/16/21,Pahang,0,382,366
7/16/21,Perak,0,299,352
7/16/21,Perlis,0,7,1
7/16/21,Pulau Pinang,0,376,153
7/16/21,Sabah,0,326,344
7/16/21,Sarawak,0,423,331
7/16/21,Selangor,2,5512,2472
7/16/21,Terengganu,0,102,47
7/16/21,W.P. Kuala Lumpur,12,1542,556
7/16/21,W.P. Labuan,0,24,222
7/16/21,W.P. Putrajaya,0,62,11
7/17/21,Johor,0,625,430
7/17/21,Kedah,0,701,323
7/17/21,Kelantan,0,211,113
7/17/21,Melaka,0,569,215
7/17/21,Negeri Sembilan,0,1280,842
7/17/21,Pahang,0,317,223
7/17/21,Perak,0,428,162
7/17/21,Perlis,0,1,0
7/17/21,Pulau Pinang,0,396,207
7/17/21,Sabah,0,647,238
7/17/21,Sarawak,0,388,357
7/17/21,Selangor,4,4985,2793
7/17/21,Terengganu,0,177,81
7/17/21,W.P. Kuala Lumpur,15,1740,571
7/17/21,W.P. Labuan,0,22,64
7/17/21,W.P. Putrajaya,0,41,10
7/18/21,Johor,1,808,499
7/18/21,Kedah,0,696,320
7/18/21,Kelantan,0,146,108
7/18/21,Melaka,0,289,123
7/18/21,Negeri Sembilan,0,771,570
7/18/21,Pahang,0,369,194
7/18/21,Perak,0,407,487
7/18/21,Perlis,0,5,0
7/18/21,Pulau Pinang,0,295,18
7/18/21,Sabah,0,666,236
7/18/21,Sarawak,0,261,426
7/18/21,Selangor,2,4828,2113
7/18/21,Terengganu,0,123,33
7/18/21,W.P. Kuala Lumpur,9,945,556
7/18/21,W.P. Labuan,0,50,83
7/18/21,W.P. Putrajaya,0,51,12
7/19/21,Johor,4,876,313
7/19/21,Kedah,0,705,415
7/19/21,Kelantan,0,170,153
7/19/21,Melaka,0,474,161
7/19/21,Negeri Sembilan,0,1340,614
7/19/21,Pahang,0,475,250
7/19/21,Perak,0,324,251
